"Race","County","Candidate","Party","Votes"
"Circuit Judge 11th Judicial Circuit 2nd Division Unexpired Term","Green","Kaelin G REED","Nonpartisan","2442"
"Circuit Judge 11th Judicial Circuit 2nd Division Unexpired Term","Green","Steven Casey CALL","Nonpartisan","1928"
"Circuit Judge 11th Judicial Circuit 2nd Division Unexpired Term","Marion","Kaelin G REED","Nonpartisan","4786"
"Circuit Judge 11th Judicial Circuit 2nd Division Unexpired Term","Marion","Steven Casey CALL","Nonpartisan","2374"
"Circuit Judge 11th Judicial Circuit 2nd Division Unexpired Term","Taylor","Kaelin G REED","Nonpartisan","3839"
"Circuit Judge 11th Judicial Circuit 2nd Division Unexpired Term","Taylor","Steven Casey CALL","Nonpartisan","6603"
"Circuit Judge 11th Judicial Circuit 2nd Division Unexpired Term","Washington","Kaelin G REED","Nonpartisan","2758"
"Circuit Judge 11th Judicial Circuit 2nd Division Unexpired Term","Washington","Steven Casey CALL","Nonpartisan","1461"
"Circuit Judge 11th Judicial Circuit 2nd Division Unexpired Term","TotalVotes","Kaelin G REED","Nonpartisan","13825"
"Circuit Judge 11th Judicial Circuit 2nd Division Unexpired Term","TotalVotes","Steven Casey CALL","Nonpartisan","12366"
