"Race","County","Candidate","Party","Votes"
"Circuit Judge 21st Judicial Circuit 2nd Division Unexpired Term","Bath","David Allen BARBER","Nonpartisan","3077"
"Circuit Judge 21st Judicial Circuit 2nd Division Unexpired Term","Bath","Elizabeth H DAVIS","Nonpartisan","1982"
"Circuit Judge 21st Judicial Circuit 2nd Division Unexpired Term","Menifee","David Allen BARBER","Nonpartisan","1490"
"Circuit Judge 21st Judicial Circuit 2nd Division Unexpired Term","Menifee","Elizabeth H DAVIS","Nonpartisan","1193"
"Circuit Judge 21st Judicial Circuit 2nd Division Unexpired Term","Montgomery","David Allen BARBER","Nonpartisan","4806"
"Circuit Judge 21st Judicial Circuit 2nd Division Unexpired Term","Montgomery","Elizabeth H DAVIS","Nonpartisan","6468"
"Circuit Judge 21st Judicial Circuit 2nd Division Unexpired Term","Rowan","David Allen BARBER","Nonpartisan","4733"
"Circuit Judge 21st Judicial Circuit 2nd Division Unexpired Term","Rowan","Elizabeth H DAVIS","Nonpartisan","3844"
"Circuit Judge 21st Judicial Circuit 2nd Division Unexpired Term","TotalVotes","David Allen BARBER","Nonpartisan","14106"
"Circuit Judge 21st Judicial Circuit 2nd Division Unexpired Term","TotalVotes","Elizabeth H DAVIS","Nonpartisan","13487"
