"Race","County","Candidate","Party","Votes"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Breathitt","Lisa WHISMAN","Nonpartisan","255"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Breathitt","Samuel Bruce HERALD","Nonpartisan","2215"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Breathitt","Cameron ADAMS","Nonpartisan","1870"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Breathitt","Marcia L WIREMAN","Nonpartisan","1150"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Powell","Lisa WHISMAN","Nonpartisan","1936"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Powell","Samuel Bruce HERALD","Nonpartisan","968"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Powell","Cameron ADAMS","Nonpartisan","1373"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Powell","Marcia L WIREMAN","Nonpartisan","697"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Wolfe","Lisa WHISMAN","Nonpartisan","1567"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Wolfe","Samuel Bruce HERALD","Nonpartisan","537"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Wolfe","Cameron ADAMS","Nonpartisan","452"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","Wolfe","Marcia L WIREMAN","Nonpartisan","236"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","TotalVotes","Lisa WHISMAN","Nonpartisan","3758"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","TotalVotes","Samuel Bruce HERALD","Nonpartisan","3720"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","TotalVotes","Cameron ADAMS","Nonpartisan","3695"
"Circuit Judge 39th Judicial Circuit 1st Division Unexpired Term","TotalVotes","Marcia L WIREMAN","Nonpartisan","2083"
