"Race","County","Candidate","Party","Votes"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","Carter","Jeniffer Barker NEICE","Nonpartisan","3577"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","Carter","Derrick E WILLIS","Nonpartisan","4786"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","Carter","Gary E CONN","Nonpartisan","1424"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","Elliott","Jeniffer Barker NEICE","Nonpartisan","1586"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","Elliott","Derrick E WILLIS","Nonpartisan","437"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","Elliott","Gary E CONN","Nonpartisan","693"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","Morgan","Jeniffer Barker NEICE","Nonpartisan","1636"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","Morgan","Derrick E WILLIS","Nonpartisan","1258"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","Morgan","Gary E CONN","Nonpartisan","1810"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","TotalVotes","Jeniffer Barker NEICE","Nonpartisan","6799"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","TotalVotes","Derrick E WILLIS","Nonpartisan","6481"
"Circuit Judge Family Court 37th Judicial Circuit 2nd Division Unexpired Term","TotalVotes","Gary E CONN","Nonpartisan","3927"
