"Race","County","Candidate","Party","Votes"
"Constitutional Amendment 1 Crime Victims","Adair","YES","Nonpartisan","3511"
"Constitutional Amendment 1 Crime Victims","Adair","NO","Nonpartisan","2759"
"Constitutional Amendment 1 Crime Victims","Allen","YES","Nonpartisan","4574"
"Constitutional Amendment 1 Crime Victims","Allen","NO","Nonpartisan","2786"
"Constitutional Amendment 1 Crime Victims","Anderson","YES","Nonpartisan","4934"
"Constitutional Amendment 1 Crime Victims","Anderson","NO","Nonpartisan","4189"
"Constitutional Amendment 1 Crime Victims","Ballard","YES","Nonpartisan","2060"
"Constitutional Amendment 1 Crime Victims","Ballard","NO","Nonpartisan","1409"
"Constitutional Amendment 1 Crime Victims","Barren","YES","Nonpartisan","8988"
"Constitutional Amendment 1 Crime Victims","Barren","NO","Nonpartisan","6760"
"Constitutional Amendment 1 Crime Victims","Bath","YES","Nonpartisan","3088"
"Constitutional Amendment 1 Crime Victims","Bath","NO","Nonpartisan","1820"
"Constitutional Amendment 1 Crime Victims","Bell","YES","Nonpartisan","4606"
"Constitutional Amendment 1 Crime Victims","Bell","NO","Nonpartisan","2398"
"Constitutional Amendment 1 Crime Victims","Boone","YES","Nonpartisan","37403"
"Constitutional Amendment 1 Crime Victims","Boone","NO","Nonpartisan","18620"
"Constitutional Amendment 1 Crime Victims","Bourbon","YES","Nonpartisan","5215"
"Constitutional Amendment 1 Crime Victims","Bourbon","NO","Nonpartisan","2622"
"Constitutional Amendment 1 Crime Victims","Boyd","YES","Nonpartisan","11493"
"Constitutional Amendment 1 Crime Victims","Boyd","NO","Nonpartisan","5912"
"Constitutional Amendment 1 Crime Victims","Boyle","YES","Nonpartisan","7711"
"Constitutional Amendment 1 Crime Victims","Boyle","NO","Nonpartisan","4999"
"Constitutional Amendment 1 Crime Victims","Bracken","YES","Nonpartisan","2201"
"Constitutional Amendment 1 Crime Victims","Bracken","NO","Nonpartisan","1488"
"Constitutional Amendment 1 Crime Victims","Breathitt","YES","Nonpartisan","2739"
"Constitutional Amendment 1 Crime Victims","Breathitt","NO","Nonpartisan","2087"
"Constitutional Amendment 1 Crime Victims","Breckinridge","YES","Nonpartisan","5174"
"Constitutional Amendment 1 Crime Victims","Breckinridge","NO","Nonpartisan","3267"
"Constitutional Amendment 1 Crime Victims","Bullitt","YES","Nonpartisan","24505"
"Constitutional Amendment 1 Crime Victims","Bullitt","NO","Nonpartisan","13042"
"Constitutional Amendment 1 Crime Victims","Butler","YES","Nonpartisan","2515"
"Constitutional Amendment 1 Crime Victims","Butler","NO","Nonpartisan","2205"
"Constitutional Amendment 1 Crime Victims","Caldwell","YES","Nonpartisan","3159"
"Constitutional Amendment 1 Crime Victims","Caldwell","NO","Nonpartisan","2250"
"Constitutional Amendment 1 Crime Victims","Calloway","YES","Nonpartisan","10046"
"Constitutional Amendment 1 Crime Victims","Calloway","NO","Nonpartisan","5607"
"Constitutional Amendment 1 Crime Victims","Campbell","YES","Nonpartisan","28389"
"Constitutional Amendment 1 Crime Victims","Campbell","NO","Nonpartisan","13000"
"Constitutional Amendment 1 Crime Victims","Carlisle","YES","Nonpartisan","973"
"Constitutional Amendment 1 Crime Victims","Carlisle","NO","Nonpartisan","995"
"Constitutional Amendment 1 Crime Victims","Carroll","YES","Nonpartisan","2200"
"Constitutional Amendment 1 Crime Victims","Carroll","NO","Nonpartisan","1451"
"Constitutional Amendment 1 Crime Victims","Carter","YES","Nonpartisan","5079"
"Constitutional Amendment 1 Crime Victims","Carter","NO","Nonpartisan","3857"
"Constitutional Amendment 1 Crime Victims","Casey","YES","Nonpartisan","3112"
"Constitutional Amendment 1 Crime Victims","Casey","NO","Nonpartisan","2488"
"Constitutional Amendment 1 Crime Victims","Christian","YES","Nonpartisan","14540"
"Constitutional Amendment 1 Crime Victims","Christian","NO","Nonpartisan","6377"
"Constitutional Amendment 1 Crime Victims","Clark","YES","Nonpartisan","9924"
"Constitutional Amendment 1 Crime Victims","Clark","NO","Nonpartisan","5567"
"Constitutional Amendment 1 Crime Victims","Clay","YES","Nonpartisan","3490"
"Constitutional Amendment 1 Crime Victims","Clay","NO","Nonpartisan","2849"
"Constitutional Amendment 1 Crime Victims","Clinton","YES","Nonpartisan","2127"
"Constitutional Amendment 1 Crime Victims","Clinton","NO","Nonpartisan","1825"
"Constitutional Amendment 1 Crime Victims","Crittenden","YES","Nonpartisan","1988"
"Constitutional Amendment 1 Crime Victims","Crittenden","NO","Nonpartisan","1484"
"Constitutional Amendment 1 Crime Victims","Cumberland","YES","Nonpartisan","999"
"Constitutional Amendment 1 Crime Victims","Cumberland","NO","Nonpartisan","971"
"Constitutional Amendment 1 Crime Victims","Daviess","YES","Nonpartisan","28632"
"Constitutional Amendment 1 Crime Victims","Daviess","NO","Nonpartisan","14626"
"Constitutional Amendment 1 Crime Victims","Edmonson","YES","Nonpartisan","2587"
"Constitutional Amendment 1 Crime Victims","Edmonson","NO","Nonpartisan","2127"
"Constitutional Amendment 1 Crime Victims","Elliott","YES","Nonpartisan","1197"
"Constitutional Amendment 1 Crime Victims","Elliott","NO","Nonpartisan","1415"
"Constitutional Amendment 1 Crime Victims","Estill","YES","Nonpartisan","2853"
"Constitutional Amendment 1 Crime Victims","Estill","NO","Nonpartisan","2544"
"Constitutional Amendment 1 Crime Victims","Fayette","YES","Nonpartisan","90439"
"Constitutional Amendment 1 Crime Victims","Fayette","NO","Nonpartisan","44554"
"Constitutional Amendment 1 Crime Victims","Fleming","YES","Nonpartisan","3154"
"Constitutional Amendment 1 Crime Victims","Fleming","NO","Nonpartisan","2354"
"Constitutional Amendment 1 Crime Victims","Floyd","YES","Nonpartisan","7627"
"Constitutional Amendment 1 Crime Victims","Floyd","NO","Nonpartisan","6866"
"Constitutional Amendment 1 Crime Victims","Franklin","YES","Nonpartisan","13991"
"Constitutional Amendment 1 Crime Victims","Franklin","NO","Nonpartisan","8249"
"Constitutional Amendment 1 Crime Victims","Fulton","YES","Nonpartisan","1327"
"Constitutional Amendment 1 Crime Victims","Fulton","NO","Nonpartisan","682"
"Constitutional Amendment 1 Crime Victims","Gallatin","YES","Nonpartisan","1698"
"Constitutional Amendment 1 Crime Victims","Gallatin","NO","Nonpartisan","1106"
"Constitutional Amendment 1 Crime Victims","Garrard","YES","Nonpartisan","4393"
"Constitutional Amendment 1 Crime Victims","Garrard","NO","Nonpartisan","2799"
"Constitutional Amendment 1 Crime Victims","Grant","YES","Nonpartisan","6037"
"Constitutional Amendment 1 Crime Victims","Grant","NO","Nonpartisan","3912"
"Constitutional Amendment 1 Crime Victims","Graves","YES","Nonpartisan","7662"
"Constitutional Amendment 1 Crime Victims","Graves","NO","Nonpartisan","5229"
"Constitutional Amendment 1 Crime Victims","Grayson","YES","Nonpartisan","5484"
"Constitutional Amendment 1 Crime Victims","Grayson","NO","Nonpartisan","4097"
"Constitutional Amendment 1 Crime Victims","Green","YES","Nonpartisan","1937"
"Constitutional Amendment 1 Crime Victims","Green","NO","Nonpartisan","1674"
"Constitutional Amendment 1 Crime Victims","Greenup","YES","Nonpartisan","8992"
"Constitutional Amendment 1 Crime Victims","Greenup","NO","Nonpartisan","5221"
"Constitutional Amendment 1 Crime Victims","Hancock","YES","Nonpartisan","2427"
"Constitutional Amendment 1 Crime Victims","Hancock","NO","Nonpartisan","1377"
"Constitutional Amendment 1 Crime Victims","Hardin","YES","Nonpartisan","30130"
"Constitutional Amendment 1 Crime Victims","Hardin","NO","Nonpartisan","13049"
"Constitutional Amendment 1 Crime Victims","Harlan","YES","Nonpartisan","4289"
"Constitutional Amendment 1 Crime Victims","Harlan","NO","Nonpartisan","4180"
"Constitutional Amendment 1 Crime Victims","Harrison","YES","Nonpartisan","4659"
"Constitutional Amendment 1 Crime Victims","Harrison","NO","Nonpartisan","3041"
"Constitutional Amendment 1 Crime Victims","Hart","YES","Nonpartisan","3500"
"Constitutional Amendment 1 Crime Victims","Hart","NO","Nonpartisan","3055"
"Constitutional Amendment 1 Crime Victims","Henderson","YES","Nonpartisan","11834"
"Constitutional Amendment 1 Crime Victims","Henderson","NO","Nonpartisan","6658"
"Constitutional Amendment 1 Crime Victims","Henry","YES","Nonpartisan","4478"
"Constitutional Amendment 1 Crime Victims","Henry","NO","Nonpartisan","2510"
"Constitutional Amendment 1 Crime Victims","Hickman","YES","Nonpartisan","906"
"Constitutional Amendment 1 Crime Victims","Hickman","NO","Nonpartisan","700"
"Constitutional Amendment 1 Crime Victims","Hopkins","YES","Nonpartisan","10766"
"Constitutional Amendment 1 Crime Victims","Hopkins","NO","Nonpartisan","7552"
"Constitutional Amendment 1 Crime Victims","Jackson","YES","Nonpartisan","2600"
"Constitutional Amendment 1 Crime Victims","Jackson","NO","Nonpartisan","2481"
