"Race","County","Candidate","Party","Votes"
"Constitutional Amendment 2 Commonwealth's Attorneys","Adair","YES YES","Nonpartisan","4333"
"Constitutional Amendment 2 Commonwealth's Attorneys","Adair","NO NO","Nonpartisan","2023"
"Constitutional Amendment 2 Commonwealth's Attorneys","Allen","YES YES","Nonpartisan","4793"
"Constitutional Amendment 2 Commonwealth's Attorneys","Allen","NO NO","Nonpartisan","2694"
"Constitutional Amendment 2 Commonwealth's Attorneys","Anderson","YES YES","Nonpartisan","6692"
"Constitutional Amendment 2 Commonwealth's Attorneys","Anderson","NO NO","Nonpartisan","2584"
"Constitutional Amendment 2 Commonwealth's Attorneys","Ballard","YES YES","Nonpartisan","2415"
"Constitutional Amendment 2 Commonwealth's Attorneys","Ballard","NO NO","Nonpartisan","1108"
"Constitutional Amendment 2 Commonwealth's Attorneys","Barren","YES YES","Nonpartisan","10828"
"Constitutional Amendment 2 Commonwealth's Attorneys","Barren","NO NO","Nonpartisan","5195"
"Constitutional Amendment 2 Commonwealth's Attorneys","Bath","YES YES","Nonpartisan","3505"
"Constitutional Amendment 2 Commonwealth's Attorneys","Bath","NO NO","Nonpartisan","1436"
"Constitutional Amendment 2 Commonwealth's Attorneys","Bell","YES YES","Nonpartisan","4470"
"Constitutional Amendment 2 Commonwealth's Attorneys","Bell","NO NO","Nonpartisan","2728"
"Constitutional Amendment 2 Commonwealth's Attorneys","Boone","YES YES","Nonpartisan","40125"
"Constitutional Amendment 2 Commonwealth's Attorneys","Boone","NO NO","Nonpartisan","16858"
"Constitutional Amendment 2 Commonwealth's Attorneys","Bourbon","YES YES","Nonpartisan","4987"
"Constitutional Amendment 2 Commonwealth's Attorneys","Bourbon","NO NO","Nonpartisan","2965"
"Constitutional Amendment 2 Commonwealth's Attorneys","Boyd","YES YES","Nonpartisan","11536"
"Constitutional Amendment 2 Commonwealth's Attorneys","Boyd","NO NO","Nonpartisan","6230"
"Constitutional Amendment 2 Commonwealth's Attorneys","Boyle","YES YES","Nonpartisan","8731"
"Constitutional Amendment 2 Commonwealth's Attorneys","Boyle","NO NO","Nonpartisan","4180"
"Constitutional Amendment 2 Commonwealth's Attorneys","Bracken","YES YES","Nonpartisan","2708"
"Constitutional Amendment 2 Commonwealth's Attorneys","Bracken","NO NO","Nonpartisan","989"
"Constitutional Amendment 2 Commonwealth's Attorneys","Breathitt","YES YES","Nonpartisan","3154"
"Constitutional Amendment 2 Commonwealth's Attorneys","Breathitt","NO NO","Nonpartisan","1793"
"Constitutional Amendment 2 Commonwealth's Attorneys","Breckinridge","YES YES","Nonpartisan","5539"
"Constitutional Amendment 2 Commonwealth's Attorneys","Breckinridge","NO NO","Nonpartisan","3050"
"Constitutional Amendment 2 Commonwealth's Attorneys","Bullitt","YES YES","Nonpartisan","26258"
"Constitutional Amendment 2 Commonwealth's Attorneys","Bullitt","NO NO","Nonpartisan","11776"
"Constitutional Amendment 2 Commonwealth's Attorneys","Butler","YES YES","Nonpartisan","3124"
"Constitutional Amendment 2 Commonwealth's Attorneys","Butler","NO NO","Nonpartisan","1677"
"Constitutional Amendment 2 Commonwealth's Attorneys","Caldwell","YES YES","Nonpartisan","3735"
"Constitutional Amendment 2 Commonwealth's Attorneys","Caldwell","NO NO","Nonpartisan","1775"
"Constitutional Amendment 2 Commonwealth's Attorneys","Calloway","YES YES","Nonpartisan","11141"
"Constitutional Amendment 2 Commonwealth's Attorneys","Calloway","NO NO","Nonpartisan","4781"
"Constitutional Amendment 2 Commonwealth's Attorneys","Campbell","YES YES","Nonpartisan","29805"
"Constitutional Amendment 2 Commonwealth's Attorneys","Campbell","NO NO","Nonpartisan","12428"
"Constitutional Amendment 2 Commonwealth's Attorneys","Carlisle","YES YES","Nonpartisan","1452"
"Constitutional Amendment 2 Commonwealth's Attorneys","Carlisle","NO NO","Nonpartisan","543"
"Constitutional Amendment 2 Commonwealth's Attorneys","Carroll","YES YES","Nonpartisan","2540"
"Constitutional Amendment 2 Commonwealth's Attorneys","Carroll","NO NO","Nonpartisan","1129"
"Constitutional Amendment 2 Commonwealth's Attorneys","Carter","YES YES","Nonpartisan","6466"
"Constitutional Amendment 2 Commonwealth's Attorneys","Carter","NO NO","Nonpartisan","2649"
"Constitutional Amendment 2 Commonwealth's Attorneys","Casey","YES YES","Nonpartisan","4002"
"Constitutional Amendment 2 Commonwealth's Attorneys","Casey","NO NO","Nonpartisan","1719"
"Constitutional Amendment 2 Commonwealth's Attorneys","Christian","YES YES","Nonpartisan","12663"
"Constitutional Amendment 2 Commonwealth's Attorneys","Christian","NO NO","Nonpartisan","8528"
"Constitutional Amendment 2 Commonwealth's Attorneys","Clark","YES YES","Nonpartisan","10482"
"Constitutional Amendment 2 Commonwealth's Attorneys","Clark","NO NO","Nonpartisan","5209"
"Constitutional Amendment 2 Commonwealth's Attorneys","Clay","YES YES","Nonpartisan","4024"
"Constitutional Amendment 2 Commonwealth's Attorneys","Clay","NO NO","Nonpartisan","2475"
"Constitutional Amendment 2 Commonwealth's Attorneys","Clinton","YES YES","Nonpartisan","2781"
