"Race","County","Candidate","Party","Votes"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Allen","Chris McNEILL","Nonpartisan","3682"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Allen","Jenny HINES","Nonpartisan","2558"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Ballard","Chris McNEILL","Nonpartisan","1984"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Ballard","Jenny HINES","Nonpartisan","1434"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Butler","Chris McNEILL","Nonpartisan","2407"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Butler","Jenny HINES","Nonpartisan","1722"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Caldwell","Chris McNEILL","Nonpartisan","2658"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Caldwell","Jenny HINES","Nonpartisan","2299"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Calloway","Chris McNEILL","Nonpartisan","7139"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Calloway","Jenny HINES","Nonpartisan","6310"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Carlisle","Chris McNEILL","Nonpartisan","1202"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Carlisle","Jenny HINES","Nonpartisan","759"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Christian","Chris McNEILL","Nonpartisan","9062"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Christian","Jenny HINES","Nonpartisan","8533"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Crittenden","Chris McNEILL","Nonpartisan","1555"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Crittenden","Jenny HINES","Nonpartisan","1345"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Edmonson","Chris McNEILL","Nonpartisan","1836"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Edmonson","Jenny HINES","Nonpartisan","1624"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Fulton","Chris McNEILL","Nonpartisan","1303"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Fulton","Jenny HINES","Nonpartisan","565"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Graves","Chris McNEILL","Nonpartisan","6098"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Graves","Jenny HINES","Nonpartisan","5056"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Hickman","Chris McNEILL","Nonpartisan","828"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Hickman","Jenny HINES","Nonpartisan","683"
"Judge of the Court of Appeals 1st Appellate District 1st Division Unexpired Term","Hopkins","Chris McNEILL","Nonpartisan","8330"
