"Race","County","Candidate","Party","Votes"
"State Representative 72nd Representative District","Bath","Matt KOCH","Republican","3357"
"State Representative 72nd Representative District","Bath","Todd NEACE","Democratic","2055"
"State Representative 72nd Representative District","Bourbon","Matt KOCH","Republican","6841"
"State Representative 72nd Representative District","Bourbon","Todd NEACE","Democratic","2642"
"State Representative 72nd Representative District","Fayette","Matt KOCH","Republican","1063"
"State Representative 72nd Representative District","Fayette","Todd NEACE","Democratic","1036"
"State Representative 72nd Representative District","Nicholas","Matt KOCH","Republican","2007"
"State Representative 72nd Representative District","Nicholas","Todd NEACE","Democratic","1291"
"State Representative 72nd Representative District","TotalVotes","Matt KOCH","Republican","13268"
"State Representative 72nd Representative District","TotalVotes","Todd NEACE","Democratic","7024"
