"Race","County","Candidate","Party","Votes"
"State Senator 7th Senatorial District","Anderson","Adrienne E SOUTHWORTH","Republican","8862"
"State Senator 7th Senatorial District","Anderson","Joe GRAVISS","Democratic","3744"
"State Senator 7th Senatorial District","Anderson","Ken CARROLL","Independent","388"
"State Senator 7th Senatorial District","Franklin","Adrienne E SOUTHWORTH","Republican","10731"
"State Senator 7th Senatorial District","Franklin","Joe GRAVISS","Democratic","13562"
"State Senator 7th Senatorial District","Franklin","Ken CARROLL","Independent","1594"
"State Senator 7th Senatorial District","Gallatin","Adrienne E SOUTHWORTH","Republican","2650"
"State Senator 7th Senatorial District","Gallatin","Joe GRAVISS","Democratic","931"
"State Senator 7th Senatorial District","Gallatin","Ken CARROLL","Independent","190"
"State Senator 7th Senatorial District","Owen","Adrienne E SOUTHWORTH","Republican","3994"
"State Senator 7th Senatorial District","Owen","Joe GRAVISS","Democratic","1163"
"State Senator 7th Senatorial District","Owen","Ken CARROLL","Independent","188"
"State Senator 7th Senatorial District","Woodford","Adrienne E SOUTHWORTH","Republican","6950"
"State Senator 7th Senatorial District","Woodford","Joe GRAVISS","Democratic","7805"
"State Senator 7th Senatorial District","Woodford","Ken CARROLL","Independent","339"
"State Senator 7th Senatorial District","TotalVotes","Adrienne E SOUTHWORTH","Republican","33187"
"State Senator 7th Senatorial District","TotalVotes","Joe GRAVISS","Democratic","27205"
"State Senator 7th Senatorial District","TotalVotes","Ken CARROLL","Independent","2699"
