"Race","County","Candidate","Party","Votes"
"Justice of the Supreme Court 7th Supreme Court District","Boyd","Robert B CONLEY","Nonpartisan","10784"
"Justice of the Supreme Court 7th Supreme Court District","Boyd","Chris HARRIS","Nonpartisan","5153"
"Justice of the Supreme Court 7th Supreme Court District","Breathitt","Robert B CONLEY","Nonpartisan","2248"
"Justice of the Supreme Court 7th Supreme Court District","Breathitt","Chris HARRIS","Nonpartisan","2413"
"Justice of the Supreme Court 7th Supreme Court District","Carter","Robert B CONLEY","Nonpartisan","5344"
"Justice of the Supreme Court 7th Supreme Court District","Carter","Chris HARRIS","Nonpartisan","3583"
"Justice of the Supreme Court 7th Supreme Court District","Elliott","Robert B CONLEY","Nonpartisan","1433"
"Justice of the Supreme Court 7th Supreme Court District","Elliott","Chris HARRIS","Nonpartisan","905"
"Justice of the Supreme Court 7th Supreme Court District","Floyd","Robert B CONLEY","Nonpartisan","5582"
"Justice of the Supreme Court 7th Supreme Court District","Floyd","Chris HARRIS","Nonpartisan","8897"
"Justice of the Supreme Court 7th Supreme Court District","Greenup","Robert B CONLEY","Nonpartisan","12422"
"Justice of the Supreme Court 7th Supreme Court District","Greenup","Chris HARRIS","Nonpartisan","3253"
"Justice of the Supreme Court 7th Supreme Court District","Harlan","Robert B CONLEY","Nonpartisan","4447"
"Justice of the Supreme Court 7th Supreme Court District","Harlan","Chris HARRIS","Nonpartisan","3245"
"Justice of the Supreme Court 7th Supreme Court District","Johnson","Robert B CONLEY","Nonpartisan","5291"
"Justice of the Supreme Court 7th Supreme Court District","Johnson","Chris HARRIS","Nonpartisan","3097"
"Justice of the Supreme Court 7th Supreme Court District","Knott","Robert B CONLEY","Nonpartisan","2487"
"Justice of the Supreme Court 7th Supreme Court District","Knott","Chris HARRIS","Nonpartisan","2404"
"Justice of the Supreme Court 7th Supreme Court District","Lawrence","Robert B CONLEY","Nonpartisan","2851"
"Justice of the Supreme Court 7th Supreme Court District","Lawrence","Chris HARRIS","Nonpartisan","1832"
"Justice of the Supreme Court 7th Supreme Court District","Letcher","Robert B CONLEY","Nonpartisan","3056"
"Justice of the Supreme Court 7th Supreme Court District","Letcher","Chris HARRIS","Nonpartisan","3746"
"Justice of the Supreme Court 7th Supreme Court District","Magoffin","Robert B CONLEY","Nonpartisan","2737"
"Justice of the Supreme Court 7th Supreme Court District","Magoffin","Chris HARRIS","Nonpartisan","1671"
"Justice of the Supreme Court 7th Supreme Court District","Martin","Robert B CONLEY","Nonpartisan","1616"
"Justice of the Supreme Court 7th Supreme Court District","Martin","Chris HARRIS","Nonpartisan","1731"
"Justice of the Supreme Court 7th Supreme Court District","Menifee","Robert B CONLEY","Nonpartisan","1405"
"Justice of the Supreme Court 7th Supreme Court District","Menifee","Chris HARRIS","Nonpartisan","943"
"Justice of the Supreme Court 7th Supreme Court District","Montgomery","Robert B CONLEY","Nonpartisan","5628"
"Justice of the Supreme Court 7th Supreme Court District","Montgomery","Chris HARRIS","Nonpartisan","4226"
"Justice of the Supreme Court 7th Supreme Court District","Morgan","Robert B CONLEY","Nonpartisan","2766"
"Justice of the Supreme Court 7th Supreme Court District","Morgan","Chris HARRIS","Nonpartisan","1733"
"Justice of the Supreme Court 7th Supreme Court District","Owsley","Robert B CONLEY","Nonpartisan","730"
"Justice of the Supreme Court 7th Supreme Court District","Owsley","Chris HARRIS","Nonpartisan","334"
"Justice of the Supreme Court 7th Supreme Court District","Perry","Robert B CONLEY","Nonpartisan","3590"
"Justice of the Supreme Court 7th Supreme Court District","Perry","Chris HARRIS","Nonpartisan","3950"
"Justice of the Supreme Court 7th Supreme Court District","Pike","Robert B CONLEY","Nonpartisan","8032"
"Justice of the Supreme Court 7th Supreme Court District","Pike","Chris HARRIS","Nonpartisan","12853"
"Justice of the Supreme Court 7th Supreme Court District","Powell","Robert B CONLEY","Nonpartisan","2730"
"Justice of the Supreme Court 7th Supreme Court District","Powell","Chris HARRIS","Nonpartisan","1820"
"Justice of the Supreme Court 7th Supreme Court District","Rowan","Robert B CONLEY","Nonpartisan","4219"
"Justice of the Supreme Court 7th Supreme Court District","Rowan","Chris HARRIS","Nonpartisan","3765"
"Justice of the Supreme Court 7th Supreme Court District","Wolfe","Robert B CONLEY","Nonpartisan","1238"
"Justice of the Supreme Court 7th Supreme Court District","Wolfe","Chris HARRIS","Nonpartisan","1137"
"Justice of the Supreme Court 7th Supreme Court District","TotalVotes","Robert B CONLEY","Nonpartisan","90636"
"Justice of the Supreme Court 7th Supreme Court District","TotalVotes","Chris HARRIS","Nonpartisan","72691"
