"Race","County","Candidate","Party","Votes"
"US President and Vice President","Adair","Donald J TRUMP Michael R PENCE","Republican Party","7276"
"US President and Vice President","Adair","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1392"
"US President and Vice President","Adair","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","60"
"US President and Vice President","Adair","Kanye WEST Michelle TIDBALL","Independent","25"
"US President and Vice President","Adair","Brock PIERCE Karla BALLARD","Independent","10"
"US President and Vice President","Adair","Howie HAWKINS Angela WALKER","WriteIn","5"
"US President and Vice President","Adair","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Adair","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Adair","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Adair","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Adair","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Adair","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Adair","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Adair","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Adair","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Adair","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Allen","Donald J TRUMP Michael R PENCE","Republican Party","7587"
"US President and Vice President","Allen","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1642"
"US President and Vice President","Allen","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","99"
"US President and Vice President","Allen","Kanye WEST Michelle TIDBALL","Independent","22"
"US President and Vice President","Allen","Brock PIERCE Karla BALLARD","Independent","14"
"US President and Vice President","Allen","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Allen","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Allen","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Allen","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Allen","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Allen","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Allen","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Allen","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Allen","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Allen","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Allen","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Anderson","Donald J TRUMP Michael R PENCE","Republican Party","9661"
"US President and Vice President","Anderson","Joseph R BIDEN Kamala D HARRIS","Democratic Party","3348"
"US President and Vice President","Anderson","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","184"
"US President and Vice President","Anderson","Kanye WEST Michelle TIDBALL","Independent","34"
"US President and Vice President","Anderson","Brock PIERCE Karla BALLARD","Independent","19"
"US President and Vice President","Anderson","Howie HAWKINS Angela WALKER","WriteIn","5"
"US President and Vice President","Anderson","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Anderson","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Anderson","Mark CHARLES Adrian WALLACE","WriteIn","2"
