"Race","County","Candidate","Party","Votes"
"US Representative 5th Congressional District","Bell","Harold Hal ROGERS","Republican","8428"
"US Representative 5th Congressional District","Bell","Matthew Ryan BEST","Democratic","1438"
"US Representative 5th Congressional District","Boyd","Harold Hal ROGERS","Republican","3315"
"US Representative 5th Congressional District","Boyd","Matthew Ryan BEST","Democratic","1200"
"US Representative 5th Congressional District","Breathitt","Harold Hal ROGERS","Republican","4428"
"US Representative 5th Congressional District","Breathitt","Matthew Ryan BEST","Democratic","1145"
"US Representative 5th Congressional District","Carter","Harold Hal ROGERS","Republican","8506"
"US Representative 5th Congressional District","Carter","Matthew Ryan BEST","Democratic","2754"
"US Representative 5th Congressional District","Clay","Harold Hal ROGERS","Republican","6842"
"US Representative 5th Congressional District","Clay","Matthew Ryan BEST","Democratic","698"
"US Representative 5th Congressional District","Elliott","Harold Hal ROGERS","Republican","2070"
"US Representative 5th Congressional District","Elliott","Matthew Ryan BEST","Democratic","830"
"US Representative 5th Congressional District","Floyd","Harold Hal ROGERS","Republican","12980"
"US Representative 5th Congressional District","Floyd","Matthew Ryan BEST","Democratic","3265"
"US Representative 5th Congressional District","Harlan","Harold Hal ROGERS","Republican","9554"
"US Representative 5th Congressional District","Harlan","Matthew Ryan BEST","Democratic","1306"
"US Representative 5th Congressional District","Jackson","Harold Hal ROGERS","Republican","5556"
"US Representative 5th Congressional District","Jackson","Matthew Ryan BEST","Democratic","494"
"US Representative 5th Congressional District","Johnson","Harold Hal ROGERS","Republican","8862"
"US Representative 5th Congressional District","Johnson","Matthew Ryan BEST","Democratic","1276"
"US Representative 5th Congressional District","Knott","Harold Hal ROGERS","Republican","4920"
"US Representative 5th Congressional District","Knott","Matthew Ryan BEST","Democratic","1261"
"US Representative 5th Congressional District","Knox","Harold Hal ROGERS","Republican","11523"
"US Representative 5th Congressional District","Knox","Matthew Ryan BEST","Democratic","1601"
"US Representative 5th Congressional District","Laurel","Harold Hal ROGERS","Republican","24267"
"US Representative 5th Congressional District","Laurel","Matthew Ryan BEST","Democratic","3769"
"US Representative 5th Congressional District","Lawrence","Harold Hal ROGERS","Republican","5658"
"US Representative 5th Congressional District","Lawrence","Matthew Ryan BEST","Democratic","1177"
"US Representative 5th Congressional District","Lee","Harold Hal ROGERS","Republican","2366"
"US Representative 5th Congressional District","Lee","Matthew Ryan BEST","Democratic","400"
"US Representative 5th Congressional District","Leslie","Harold Hal ROGERS","Republican","4434"
"US Representative 5th Congressional District","Leslie","Matthew Ryan BEST","Democratic","360"
"US Representative 5th Congressional District","Letcher","Harold Hal ROGERS","Republican","7496"
"US Representative 5th Congressional District","Letcher","Matthew Ryan BEST","Democratic","1536"
"US Representative 5th Congressional District","Lincoln","Harold Hal ROGERS","Republican","8829"
"US Representative 5th Congressional District","Lincoln","Matthew Ryan BEST","Democratic","1937"
"US Representative 5th Congressional District","Magoffin","Harold Hal ROGERS","Republican","4367"
"US Representative 5th Congressional District","Magoffin","Matthew Ryan BEST","Democratic","1070"
"US Representative 5th Congressional District","Martin","Harold Hal ROGERS","Republican","3580"
"US Representative 5th Congressional District","Martin","Matthew Ryan BEST","Democratic","353"
"US Representative 5th Congressional District","McCreary","Harold Hal ROGERS","Republican","5772"
"US Representative 5th Congressional District","McCreary","Matthew Ryan BEST","Democratic","589"
"US Representative 5th Congressional District","Morgan","Harold Hal ROGERS","Republican","4480"
"US Representative 5th Congressional District","Morgan","Matthew Ryan BEST","Democratic","1012"
"US Representative 5th Congressional District","Owsley","Harold Hal ROGERS","Republican","1660"
"US Representative 5th Congressional District","Owsley","Matthew Ryan BEST","Democratic","190"
"US Representative 5th Congressional District","Perry","Harold Hal ROGERS","Republican","8521"
"US Representative 5th Congressional District","Perry","Matthew Ryan BEST","Democratic","1929"
"US Representative 5th Congressional District","Pike","Harold Hal ROGERS","Republican","20954"
"US Representative 5th Congressional District","Pike","Matthew Ryan BEST","Democratic","3978"
"US Representative 5th Congressional District","Pulaski","Harold Hal ROGERS","Republican","27109"
"US Representative 5th Congressional District","Pulaski","Matthew Ryan BEST","Democratic","4180"
"US Representative 5th Congressional District","Rockcastle","Harold Hal ROGERS","Republican","6885"
"US Representative 5th Congressional District","Rockcastle","Matthew Ryan BEST","Democratic","828"
"US Representative 5th Congressional District","Rowan","Harold Hal ROGERS","Republican","6549"
"US Representative 5th Congressional District","Rowan","Matthew Ryan BEST","Democratic","3323"
"US Representative 5th Congressional District","Wayne","Harold Hal ROGERS","Republican","7693"
"US Representative 5th Congressional District","Wayne","Matthew Ryan BEST","Democratic","1301"
"US Representative 5th Congressional District","Whitley","Harold Hal ROGERS","Republican","13310"
"US Representative 5th Congressional District","Whitley","Matthew Ryan BEST","Democratic","1856"
"US Representative 5th Congressional District","TotalVotes","Harold Hal ROGERS","Republican","250914"
"US Representative 5th Congressional District","TotalVotes","Matthew Ryan BEST","Democratic","47056"
