"County","Candidate","Party","Votes","Race"
"Adair","Mitch McCONNELL","Republican Party","6753","US Senate"
"Adair","Amy McGRATH","Democratic Party","1623","US Senate"
"Adair","Brad BARRON","Libertarian Party","348","US Senate"
"Adair","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Adair","Daniel COBBLE","WriteIn","0","US Senate"
"Adair","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Adair","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Adair","Demetra WYSINGER","WriteIn","0","US Senate"
"Allen","Mitch McCONNELL","Republican Party","6949","US Senate"
"Allen","Amy McGRATH","Democratic Party","1919","US Senate"
"Allen","Brad BARRON","Libertarian Party","433","US Senate"
"Allen","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Allen","Daniel COBBLE","WriteIn","0","US Senate"
"Allen","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Allen","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Allen","Demetra WYSINGER","WriteIn","0","US Senate"
"Anderson","Mitch McCONNELL","Republican Party","9021","US Senate"
"Anderson","Amy McGRATH","Democratic Party","3663","US Senate"
"Anderson","Brad BARRON","Libertarian Party","551","US Senate"
"Anderson","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Anderson","Daniel COBBLE","WriteIn","0","US Senate"
"Anderson","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Anderson","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Anderson","Demetra WYSINGER","WriteIn","0","US Senate"
"Ballard","Mitch McCONNELL","Republican Party","3155","US Senate"
"Ballard","Amy McGRATH","Democratic Party","936","US Senate"
"Ballard","Brad BARRON","Libertarian Party","136","US Senate"
"Ballard","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Ballard","Daniel COBBLE","WriteIn","0","US Senate"
"Ballard","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Ballard","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Ballard","Demetra WYSINGER","WriteIn","0","US Senate"
"Barren","Mitch McCONNELL","Republican Party","13341","US Senate"
"Barren","Amy McGRATH","Democratic Party","5600","US Senate"
"Barren","Brad BARRON","Libertarian Party","1081","US Senate"
"Barren","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Barren","Daniel COBBLE","WriteIn","0","US Senate"
"Barren","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Barren","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Barren","Demetra WYSINGER","WriteIn","0","US Senate"
"Bath","Mitch McCONNELL","Republican Party","3537","US Senate"
"Bath","Amy McGRATH","Democratic Party","1827","US Senate"
"Bath","Brad BARRON","Libertarian Party","246","US Senate"
"Bath","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Bath","Daniel COBBLE","WriteIn","0","US Senate"
"Bath","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Bath","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Bath","Demetra WYSINGER","WriteIn","0","US Senate"
"Bell","Mitch McCONNELL","Republican Party","7346","US Senate"
"Bell","Amy McGRATH","Democratic Party","2159","US Senate"
"Bell","Brad BARRON","Libertarian Party","442","US Senate"
"Bell","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Bell","Daniel COBBLE","WriteIn","0","US Senate"
"Bell","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Bell","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Bell","Demetra WYSINGER","WriteIn","0","US Senate"
"Boone","Mitch McCONNELL","Republican Party","41729","US Senate"
"Boone","Amy McGRATH","Democratic Party","22450","US Senate"
"Boone","Brad BARRON","Libertarian Party","2778","US Senate"
"Boone","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Boone","Daniel COBBLE","WriteIn","0","US Senate"
"Boone","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Boone","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Boone","Demetra WYSINGER","WriteIn","0","US Senate"
"Bourbon","Mitch McCONNELL","Republican Party","5807","US Senate"
"Bourbon","Amy McGRATH","Democratic Party","3477","US Senate"
"Bourbon","Brad BARRON","Libertarian Party","364","US Senate"
"Bourbon","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Bourbon","Daniel COBBLE","WriteIn","0","US Senate"
"Bourbon","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Bourbon","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Bourbon","Demetra WYSINGER","WriteIn","0","US Senate"
"Boyd","Mitch McCONNELL","Republican Party","12909","US Senate"
"Boyd","Amy McGRATH","Democratic Party","7915","US Senate"
"Boyd","Brad BARRON","Libertarian Party","931","US Senate"
